Episode,Score,AvgScore
1,500.0000,500.0000
2,500.0000,500.0000
3,500.0000,500.0000
4,500.0000,500.0000
5,500.0000,500.0000
6,500.0000,500.0000
7,500.0000,500.0000
8,500.0000,500.0000
9,500.0000,500.0000
10,310.0000,481.0000
11,500.0000,482.7273
12,500.0000,484.1667
13,316.0000,471.2308
14,500.0000,473.2857
15,500.0000,475.0667
16,500.0000,476.6250
17,500.0000,478.0000
18,500.0000,479.2222
19,500.0000,480.3158
20,500.0000,481.3000
21,500.0000,482.1905
22,500.0000,483.0000
23,500.0000,483.7391
24,500.0000,484.4167
25,500.0000,485.0400
26,500.0000,485.6154
27,500.0000,486.1481
28,500.0000,486.6429
29,500.0000,487.1034
30,500.0000,487.5333
31,500.0000,487.9355
32,500.0000,488.3125
33,500.0000,488.6667
34,500.0000,489.0000
35,500.0000,489.3143
36,500.0000,489.6111
37,335.0000,485.4324
38,500.0000,485.8158
39,500.0000,486.1795
40,500.0000,486.5250
41,500.0000,486.8537
42,326.0000,483.0238
43,500.0000,483.4186
44,500.0000,483.7955
45,500.0000,484.1556
46,500.0000,484.5000
47,500.0000,484.8298
48,500.0000,485.1458
49,500.0000,485.4490
50,500.0000,485.7400
51,500.0000,486.0196
52,500.0000,486.2885
53,500.0000,486.5472
54,346.0000,483.9444
55,500.0000,484.2364
56,500.0000,484.5179
57,500.0000,484.7895
58,500.0000,485.0517
59,500.0000,485.3051
60,500.0000,485.5500
61,500.0000,485.7869
62,500.0000,486.0161
63,314.0000,483.2857
64,500.0000,483.5469
65,500.0000,483.8000
66,500.0000,484.0455
67,500.0000,484.2836
68,500.0000,484.5147
69,500.0000,484.7391
70,466.0000,484.4714
71,500.0000,484.6901
72,500.0000,484.9028
73,500.0000,485.1096
74,500.0000,485.3108
75,500.0000,485.5067
76,500.0000,485.6974
77,500.0000,485.8831
78,310.0000,483.6282
79,500.0000,483.8354
80,481.0000,483.8000
81,500.0000,484.0000
82,500.0000,484.1951
83,500.0000,484.3855
84,500.0000,484.5714
85,500.0000,484.7529
86,500.0000,484.9302
87,500.0000,485.1034
88,500.0000,485.2727
89,500.0000,485.4382
90,500.0000,485.6000
91,500.0000,485.7582
92,500.0000,485.9130
93,500.0000,486.0645
94,342.0000,484.5319
95,309.0000,482.6842
96,500.0000,482.8646
97,500.0000,483.0412
98,500.0000,483.2143
99,500.0000,483.3838
100,450.0000,483.0500
101,182.0000,480.0693
102,500.0000,480.2647
103,500.0000,480.4563
104,500.0000,480.6442
105,500.0000,480.8286
106,500.0000,481.0094
107,500.0000,481.1869
108,500.0000,481.3611
109,500.0000,481.5321
110,500.0000,481.7000
111,500.0000,481.8649
112,306.0000,480.2946
113,500.0000,480.4690
114,500.0000,480.6404
115,500.0000,480.8087
116,500.0000,480.9741
117,500.0000,481.1368
118,500.0000,481.2966
119,500.0000,481.4538
120,500.0000,481.6083
121,500.0000,481.7603
122,500.0000,481.9098
123,500.0000,482.0569
124,212.0000,479.8790
125,500.0000,480.0400
126,313.0000,478.7143
127,500.0000,478.8819
128,500.0000,479.0469
129,500.0000,479.2093
130,500.0000,479.3692
131,500.0000,479.5267
132,500.0000,479.6818
133,500.0000,479.8346
134,500.0000,479.9851
135,500.0000,480.1333
136,500.0000,480.2794
137,500.0000,480.4234
138,351.0000,479.4855
139,377.0000,478.7482
140,500.0000,478.9000
141,330.0000,477.8440
142,500.0000,478.0000
143,500.0000,478.1538
144,314.0000,477.0139
145,500.0000,477.1724
146,500.0000,477.3288
147,500.0000,477.4830
148,500.0000,477.6351
149,346.0000,476.7517
150,352.0000,475.9200
151,500.0000,476.0795
152,306.0000,474.9605
153,454.0000,474.8235
154,339.0000,473.9416
155,500.0000,474.1097
156,500.0000,474.2756
157,500.0000,474.4395
158,500.0000,474.6013
159,500.0000,474.7610
160,500.0000,474.9187
161,500.0000,475.0745
162,500.0000,475.2284
163,500.0000,475.3804
164,309.0000,474.3659
165,500.0000,474.5212
166,323.0000,473.6084
167,500.0000,473.7665
168,500.0000,473.9226
169,352.0000,473.2012
170,500.0000,473.3588
171,387.0000,472.8538
172,358.0000,472.1860
173,500.0000,472.3468
174,500.0000,472.5057
175,500.0000,472.6629
176,500.0000,472.8182
177,500.0000,472.9718
178,500.0000,473.1236
179,500.0000,473.2737
180,328.0000,472.4667
181,500.0000,472.6188
182,339.0000,471.8846
