Episode,Score,AvgScore
1,151.0000,151.0000
2,221.0000,186.0000
3,203.0000,191.6667
4,181.0000,189.0000
5,151.0000,181.4000
6,202.0000,184.8333
7,133.0000,177.4286
8,119.0000,170.1250
9,142.0000,167.0000
10,146.0000,164.9000
11,139.0000,162.5455
12,200.0000,165.6667
13,180.0000,166.7692
14,168.0000,166.8571
15,159.0000,166.3333
16,222.0000,169.8125
17,141.0000,168.1176
18,175.0000,168.5000
19,231.0000,171.7895
20,181.0000,172.2500
21,136.0000,170.5238
22,170.0000,170.5000
23,500.0000,184.8261
24,197.0000,185.3333
25,335.0000,191.3200
26,194.0000,191.4231
27,180.0000,191.0000
28,163.0000,190.0000
29,406.0000,197.4483
30,229.0000,198.5000
31,272.0000,200.8710
32,186.0000,200.4062
33,264.0000,202.3333
34,477.0000,210.4118
35,242.0000,211.3143
36,295.0000,213.6389
37,212.0000,213.5946
38,166.0000,212.3421
39,344.0000,215.7179
40,187.0000,215.0000
41,230.0000,215.3659
42,193.0000,214.8333
43,219.0000,214.9302
44,251.0000,215.7500
45,183.0000,215.0222
46,156.0000,213.7391
47,220.0000,213.8723
48,250.0000,214.6250
49,266.0000,215.6735
50,208.0000,215.5200
51,182.0000,214.8627
52,292.0000,216.3462
53,500.0000,221.6981
54,500.0000,226.8519
55,500.0000,231.8182
56,218.0000,231.5714
57,500.0000,236.2807
58,241.0000,236.3621
59,500.0000,240.8305
60,386.0000,243.2500
61,228.0000,243.0000
62,500.0000,247.1452
63,500.0000,251.1587
64,364.0000,252.9219
65,440.0000,255.8000
66,500.0000,259.5000
67,278.0000,259.7761
68,313.0000,260.5588
69,346.0000,261.7971
70,296.0000,262.2857
71,280.0000,262.5352
72,218.0000,261.9167
73,231.0000,261.4932
74,311.0000,262.1622
75,275.0000,262.3333
76,221.0000,261.7895
77,267.0000,261.8571
78,225.0000,261.3846
79,283.0000,261.6582
80,222.0000,261.1625
81,223.0000,260.6914
82,211.0000,260.0854
83,197.0000,259.3253
84,238.0000,259.0714
85,240.0000,258.8471
86,201.0000,258.1744
87,187.0000,257.3563
88,202.0000,256.7273
89,309.0000,257.3146
90,213.0000,256.8222
91,237.0000,256.6044
92,149.0000,255.4348
93,197.0000,254.8065
94,281.0000,255.0851
95,281.0000,255.3579
96,275.0000,255.5625
97,301.0000,256.0309
98,283.0000,256.3061
99,240.0000,256.1414
100,302.0000,256.6000
101,265.0000,256.6832
102,500.0000,259.0686
103,500.0000,261.4078
104,352.0000,262.2788
105,500.0000,264.5429
106,342.0000,265.2736
107,500.0000,267.4673
108,500.0000,269.6204
109,93.0000,268.0000
110,359.0000,268.8273
111,186.0000,268.0811
112,141.0000,266.9464
113,119.0000,265.6372
114,117.0000,264.3333
115,111.0000,263.0000
116,34.0000,261.0259
117,113.0000,259.7607
118,41.0000,257.9068
119,146.0000,256.9664
120,233.0000,256.7667
121,349.0000,257.5289
122,276.0000,257.6803
123,322.0000,258.2033
124,310.0000,258.6210
125,301.0000,258.9600
126,298.0000,259.2698
127,365.0000,260.1024
128,500.0000,261.9766
129,414.0000,263.1550
130,363.0000,263.9231
131,500.0000,265.7252
132,500.0000,267.5000
133,500.0000,269.2481
134,500.0000,270.9701
135,500.0000,272.6667
136,500.0000,274.3382
137,500.0000,275.9854
138,500.0000,277.6087
139,500.0000,279.2086
140,500.0000,280.7857
141,500.0000,282.3404
142,500.0000,283.8732
143,500.0000,285.3846
144,500.0000,286.8750
145,500.0000,288.3448
146,500.0000,289.7945
147,493.0000,291.1769
148,500.0000,292.5878
149,367.0000,293.0872
150,500.0000,294.4667
151,500.0000,295.8278
152,500.0000,297.1711
153,452.0000,298.1830
154,334.0000,298.4156
155,385.0000,298.9742
156,400.0000,299.6218
157,473.0000,300.7261
158,385.0000,301.2595
159,379.0000,301.7484
160,360.0000,302.1125
161,369.0000,302.5280
162,370.0000,302.9444
163,386.0000,303.4540
164,371.0000,303.8659
165,341.0000,304.0909
166,343.0000,304.3253
167,267.0000,304.1018
168,340.0000,304.3155
169,387.0000,304.8047
170,344.0000,305.0353
171,282.0000,304.9006
172,234.0000,304.4884
173,235.0000,304.0867
174,240.0000,303.7184
175,361.0000,304.0457
176,293.0000,303.9830
177,500.0000,305.0904
178,366.0000,305.4326
179,500.0000,306.5196
180,500.0000,307.5944
181,500.0000,308.6575
182,431.0000,309.3297
183,500.0000,310.3716
184,500.0000,311.4022
185,151.0000,310.5351
186,152.0000,309.6828
187,228.0000,309.2460
188,276.0000,309.0691
189,301.0000,309.0265
190,500.0000,310.0316
191,500.0000,311.0262
192,500.0000,312.0104
193,500.0000,312.9845
194,380.0000,313.3299
195,285.0000,313.1846
196,161.0000,312.4082
197,167.0000,311.6701
198,100.0000,310.6010
199,29.0000,309.1859
200,175.0000,308.5150
201,162.0000,307.7861
202,392.0000,308.2030
203,185.0000,307.5961
204,158.0000,306.8627
205,500.0000,307.8049
206,500.0000,308.7379
207,500.0000,309.6618
208,352.0000,309.8654
209,500.0000,310.7751
210,500.0000,311.6762
211,500.0000,312.5687
212,414.0000,313.0472
213,500.0000,313.9249
214,500.0000,314.7944
215,500.0000,315.6558
216,500.0000,316.5093
217,318.0000,316.5161
218,237.0000,316.1514
219,206.0000,315.6484
220,149.0000,314.8909
221,264.0000,314.6606
222,169.0000,314.0045
223,115.0000,313.1121
224,130.0000,312.2946
225,118.0000,311.4311
226,150.0000,310.7168
227,440.0000,311.2863
228,131.0000,310.4956
229,427.0000,311.0044
230,272.0000,310.8348
231,156.0000,310.1645
232,287.0000,310.0647
233,240.0000,309.7639
234,259.0000,309.5470
235,183.0000,309.0085
236,127.0000,308.2373
237,134.0000,307.5021
238,150.0000,306.8403
239,125.0000,306.0795
240,380.0000,306.3875
241,264.0000,306.2116
242,255.0000,306.0000
243,278.0000,305.8848
244,142.0000,305.2131
245,214.0000,304.8408
246,259.0000,304.6545
247,159.0000,304.0648
248,233.0000,303.7782
249,144.0000,303.1365
250,142.0000,302.4920
251,144.0000,301.8606
252,164.0000,301.3135
253,168.0000,300.7866
254,144.0000,300.1693
255,276.0000,300.0745
256,131.0000,299.4141
257,153.0000,298.8444
258,231.0000,298.5814
259,144.0000,297.9846
260,121.0000,297.3038
261,165.0000,296.7969
262,231.0000,296.5458
263,198.0000,296.1711
264,195.0000,295.7879
265,31.0000,294.7887
266,303.0000,294.8195
267,363.0000,295.0749
268,500.0000,295.8396
269,500.0000,296.5985
270,500.0000,297.3519
271,500.0000,298.0996
272,500.0000,298.8419
273,500.0000,299.5788
274,500.0000,300.3102
275,500.0000,301.0364
276,500.0000,301.7572
277,500.0000,302.4729
278,500.0000,303.1835
279,500.0000,303.8889
280,500.0000,304.5893
281,500.0000,305.2847
282,500.0000,305.9752
283,500.0000,306.6608
284,500.0000,307.3415
285,500.0000,308.0175
286,500.0000,308.6888
287,500.0000,309.3554
288,500.0000,310.0174
289,500.0000,310.6747
290,500.0000,311.3276
291,500.0000,311.9759
292,500.0000,312.6199
293,500.0000,313.2594
294,500.0000,313.8946
295,500.0000,314.5254
296,500.0000,315.1520
297,459.0000,315.6364
298,466.0000,316.1409
299,404.0000,316.4348
300,373.0000,316.6233
301,332.0000,316.6744
302,317.0000,316.6755
303,314.0000,316.6667
304,335.0000,316.7270
305,252.0000,316.5148
306,319.0000,316.5229
307,278.0000,316.3974
308,256.0000,316.2013
309,306.0000,316.1683
310,315.0000,316.1645
311,359.0000,316.3023
312,480.0000,316.8269
313,500.0000,317.4121
314,480.0000,317.9299
315,500.0000,318.5079
316,482.0000,319.0253
317,500.0000,319.5962
318,500.0000,320.1635
319,500.0000,320.7273
320,328.0000,320.7500
321,348.0000,320.8349
322,414.0000,321.1242
323,292.0000,321.0341
324,315.0000,321.0154
325,445.0000,321.3969
326,500.0000,321.9448
327,500.0000,322.4893
328,500.0000,323.0305
329,500.0000,323.5684
330,500.0000,324.1030
331,500.0000,324.6344
332,500.0000,325.1627
333,354.0000,325.2492
334,500.0000,325.7725
335,500.0000,326.2925
336,500.0000,326.8095
337,500.0000,327.3234
338,500.0000,327.8343
339,500.0000,328.3422
340,500.0000,328.8471
341,500.0000,329.3490
342,500.0000,329.8480
343,500.0000,330.3440
344,500.0000,330.8372
345,500.0000,331.3275
346,500.0000,331.8150
347,500.0000,332.2997
348,500.0000,332.7816
349,500.0000,333.2607
350,500.0000,333.7371
351,500.0000,334.2108
352,500.0000,334.6818
353,500.0000,335.1501
354,500.0000,335.6158
355,500.0000,336.0789
356,500.0000,336.5393
357,500.0000,336.9972
358,500.0000,337.4525
359,500.0000,337.9053
360,500.0000,338.3556
361,500.0000,338.8033
362,500.0000,339.2486
363,500.0000,339.6915
364,500.0000,340.1319
365,500.0000,340.5699
366,500.0000,341.0055
367,500.0000,341.4387
368,500.0000,341.8696
369,500.0000,342.2981
370,500.0000,342.7243
371,500.0000,343.1482
372,500.0000,343.5699
373,500.0000,343.9893
374,500.0000,344.4064
375,500.0000,344.8213
376,500.0000,345.2340
377,500.0000,345.6446
378,500.0000,346.0529
379,500.0000,346.4591
380,500.0000,346.8632
381,500.0000,347.2651
382,500.0000,347.6649
383,500.0000,348.0627
384,500.0000,348.4583
385,500.0000,348.8519
386,500.0000,349.2435
387,500.0000,349.6331
388,500.0000,350.0206
389,500.0000,350.4062
390,500.0000,350.7897
391,500.0000,351.1714
392,500.0000,351.5510
393,500.0000,351.9288
394,500.0000,352.3046
395,500.0000,352.6785
396,500.0000,353.0505
397,500.0000,353.4207
398,500.0000,353.7889
399,500.0000,354.1554
400,500.0000,354.5200
401,500.0000,354.8828
402,500.0000,355.2438
403,500.0000,355.6030
404,500.0000,355.9604
405,500.0000,356.3160
406,500.0000,356.6700
407,500.0000,357.0221
408,500.0000,357.3725
409,500.0000,357.7213
410,500.0000,358.0683
411,500.0000,358.4136
412,500.0000,358.7573
413,500.0000,359.0993
414,500.0000,359.4396
415,500.0000,359.7783
416,500.0000,360.1154
417,500.0000,360.4508
418,482.0000,360.7416
419,500.0000,361.0740
420,500.0000,361.4048
421,500.0000,361.7340
422,394.0000,361.8104
423,500.0000,362.1371
424,500.0000,362.4623
425,500.0000,362.7859
426,500.0000,363.1080
427,500.0000,363.4286
428,500.0000,363.7477
429,500.0000,364.0653
430,500.0000,364.3814
431,500.0000,364.6961
432,500.0000,365.0093
433,500.0000,365.3210
434,500.0000,365.6313
435,500.0000,365.9402
436,500.0000,366.2477
437,500.0000,366.5538
438,500.0000,366.8584
439,500.0000,367.1617
440,500.0000,367.4636
441,500.0000,367.7642
442,500.0000,368.0633
443,500.0000,368.3612
444,500.0000,368.6577
445,500.0000,368.9528
446,500.0000,369.2466
447,500.0000,369.5391
448,500.0000,369.8304
449,216.0000,369.4878
450,500.0000,369.7778
451,109.0000,369.1996
452,106.0000,368.6173
453,102.0000,368.0287
454,500.0000,368.3194
455,500.0000,368.6088
456,500.0000,368.8969
457,500.0000,369.1838
458,500.0000,369.4694
459,500.0000,369.7538
460,500.0000,370.0370
461,500.0000,370.3189
462,500.0000,370.5996
463,500.0000,370.8790
464,500.0000,371.1573
465,500.0000,371.4344
466,500.0000,371.7103
467,500.0000,371.9850
468,500.0000,372.2585
469,500.0000,372.5309
470,500.0000,372.8021
471,500.0000,373.0722
472,500.0000,373.3411
473,500.0000,373.6089
474,500.0000,373.8755
475,500.0000,374.1411
476,500.0000,374.4055
477,500.0000,374.6688
478,500.0000,374.9310
479,500.0000,375.1921
480,500.0000,375.4521
481,500.0000,375.7110
482,500.0000,375.9689
483,500.0000,376.2257
484,500.0000,376.4814
485,500.0000,376.7361
486,500.0000,376.9897
487,500.0000,377.2423
488,500.0000,377.4939
489,500.0000,377.7444
490,500.0000,377.9939
491,500.0000,378.2424
492,500.0000,378.4898
493,500.0000,378.7363
494,500.0000,378.9818
495,500.0000,379.2263
496,500.0000,379.4698
497,500.0000,379.7123
498,500.0000,379.9538
499,500.0000,380.1944
500,500.0000,380.4340
501,500.0000,380.6727
502,500.0000,380.9104
503,500.0000,381.1471
504,500.0000,381.3829
505,500.0000,381.6178
506,500.0000,381.8518
507,500.0000,382.0848
508,500.0000,382.3169
509,500.0000,382.5481
510,500.0000,382.7784
511,500.0000,383.0078
512,500.0000,383.2363
513,500.0000,383.4639
514,500.0000,383.6907
515,500.0000,383.9165
516,500.0000,384.1415
517,500.0000,384.3656
518,500.0000,384.5888
519,500.0000,384.8112
520,500.0000,385.0327
521,500.0000,385.2534
522,500.0000,385.4732
523,500.0000,385.6922
524,500.0000,385.9103
525,500.0000,386.1276
526,500.0000,386.3441
527,500.0000,386.5598
528,500.0000,386.7746
529,500.0000,386.9887
530,500.0000,387.2019
531,500.0000,387.4143
532,500.0000,387.6259
533,500.0000,387.8368
534,500.0000,388.0468
535,500.0000,388.2561
536,500.0000,388.4646
537,500.0000,388.6723
538,500.0000,388.8792
539,500.0000,389.0853
540,500.0000,389.2907
541,500.0000,389.4954
542,500.0000,389.6993
543,500.0000,389.9024
544,500.0000,390.1048
545,500.0000,390.3064
546,500.0000,390.5073
547,500.0000,390.7075
548,500.0000,390.9069
549,500.0000,391.1056
550,500.0000,391.3036
551,500.0000,391.5009
552,500.0000,391.6975
553,500.0000,391.8933
554,500.0000,392.0884
555,500.0000,392.2829
556,500.0000,392.4766
557,500.0000,392.6697
558,328.0000,392.5538
559,500.0000,392.7460
560,500.0000,392.9375
561,500.0000,393.1283
562,500.0000,393.3185
563,500.0000,393.5080
564,500.0000,393.6968
565,500.0000,393.8850
566,500.0000,394.0724
567,372.0000,394.0335
568,500.0000,394.2201
569,500.0000,394.4060
570,500.0000,394.5912
571,500.0000,394.7758
572,500.0000,394.9598
573,500.0000,395.1431
574,500.0000,395.3258
575,500.0000,395.5078
576,500.0000,395.6892
577,500.0000,395.8700
578,461.0000,395.9827
579,500.0000,396.1623
