Episode,Score,AvgScore
1,-100.9946,-100.9946
2,-102.6823,-101.8384
3,-149.1535,-117.6101
4,-141.4516,-123.5705
5,-197.0141,-138.2592
6,-101.1118,-132.0680
7,-41.8230,-119.1758
8,-123.9641,-119.7744
9,-116.2338,-119.3810
10,-110.1470,-118.4576
11,-154.6300,-121.7460
12,-85.5115,-118.7264
13,-62.8400,-114.4275
14,-73.1831,-111.4814
15,-142.2885,-113.5353
16,-129.2795,-114.5193
17,-75.5899,-112.2293
18,-121.0001,-112.7166
19,-95.5929,-111.8153
20,-99.6440,-111.2068
21,-107.7363,-111.0415
22,-102.1780,-110.6386
23,-86.8569,-109.6046
24,-139.0834,-110.8329
25,-72.9474,-109.3175
26,-72.8189,-107.9137
27,-129.1523,-108.7003
28,-209.5351,-112.3016
29,-83.6884,-111.3149
30,-96.0746,-110.8069
31,-230.1597,-114.6570
32,-127.2920,-115.0518
33,-96.8446,-114.5001
34,-176.9416,-116.3366
35,-109.5922,-116.1439
36,-154.1355,-117.1992
37,-161.3503,-118.3925
38,-79.7497,-117.3756
39,-88.9324,-116.6463
40,-132.9859,-117.0548
41,-127.5716,-117.3113
42,-160.7032,-118.3444
43,-165.3450,-119.4374
44,-72.4075,-118.3686
45,-97.0570,-117.8950
46,-147.2768,-118.5337
47,-92.1981,-117.9734
48,-97.5708,-117.5483
49,-156.3811,-118.3408
50,-96.5570,-117.9052
51,-150.8512,-118.5512
52,-93.6252,-118.0718
53,-89.5672,-117.5340
54,-89.2338,-117.0099
55,-118.3356,-117.0340
56,-119.2200,-117.0731
57,-130.6461,-117.3112
58,-81.6818,-116.6969
59,-79.3251,-116.0635
60,-77.9772,-115.4287
61,-103.7017,-115.2364
62,-69.3451,-114.4963
63,-90.3257,-114.1126
64,-118.8077,-114.1860
65,-101.7104,-113.9940
66,-70.6067,-113.3367
67,-104.0712,-113.1984
68,-100.6829,-113.0143
69,-107.1902,-112.9299
70,-124.7933,-113.0994
71,-104.5615,-112.9791
72,-80.3306,-112.5257
73,-200.9677,-113.7372
74,-154.2038,-114.2841
75,-104.0112,-114.1471
76,-121.6214,-114.2454
77,-69.5872,-113.6655
78,-115.3264,-113.6867
79,-83.2363,-113.3013
80,-114.8855,-113.3211
81,-108.3528,-113.2598
82,-93.7384,-113.0217
83,-85.2789,-112.6874
84,-158.6484,-113.2346
85,-160.8475,-113.7948
86,-176.7236,-114.5265
87,-184.6619,-115.3326
88,-78.3051,-114.9119
89,-81.3876,-114.5352
90,-101.0518,-114.3854
91,-180.7744,-115.1149
92,-150.4621,-115.4991
93,-89.7827,-115.2226
94,-101.8641,-115.0805
95,-103.9225,-114.9631
96,-86.0892,-114.6623
97,-141.6659,-114.9407
98,-27.4757,-114.0482
99,-69.2553,-113.5957
100,-121.7113,-113.6769
101,-106.7378,-113.6082
102,-249.6619,-114.9420
103,-59.7502,-114.4062
104,-130.0047,-114.5562
105,-88.9324,-114.3121
106,-55.0110,-113.7527
107,-117.0631,-113.7836
108,-93.8216,-113.5988
109,-326.1570,-115.5489
110,-120.3410,-115.5924
111,-156.5190,-115.9611
112,-107.2947,-115.8838
113,-122.3048,-115.9406
114,-170.9671,-116.4233
115,-78.9517,-116.0974
116,-100.4646,-115.9627
117,-86.0089,-115.7067
118,-146.7878,-115.9701
119,-99.2578,-115.8296
120,-102.5069,-115.7186
121,-79.0317,-115.4154
122,-77.8491,-115.1075
123,20.4283,-114.0056
124,-155.6572,-114.3415
125,-86.3309,-114.1174
126,-78.2860,-113.8330
127,-59.7027,-113.4068
128,-66.6222,-113.0413
129,-115.1219,-113.0574
130,-122.0831,-113.1268
131,-111.9149,-113.1176
132,-101.5168,-113.0297
133,-90.2587,-112.8585
134,-120.3946,-112.9147
135,-100.9845,-112.8263
136,-62.1258,-112.4536
137,-107.3658,-112.4164
138,-97.9631,-112.3117
139,-74.4857,-112.0396
140,-131.1013,-112.1757
141,-102.6362,-112.1081
142,-116.5647,-112.1394
143,-54.0668,-111.7333
144,-61.0069,-111.3811
145,-101.3084,-111.3116
146,-109.6268,-111.3001
147,-75.8229,-111.0587
148,-71.5772,-110.7920
149,-83.5774,-110.6093
150,-119.1534,-110.6663
151,-60.9974,-110.3373
152,-110.5399,-110.3387
153,-103.2278,-110.2922
154,-102.4103,-110.2410
155,-127.0945,-110.3497
156,-101.4165,-110.2925
157,-123.1342,-110.3743
158,-183.1638,-110.8350
159,-114.2950,-110.8567
160,-86.1367,-110.7022
161,-87.4648,-110.5579
162,5.8141,-109.8395
163,-131.9905,-109.9754
164,-113.2111,-109.9952
165,-104.2364,-109.9603
166,-111.5387,-109.9698
167,-102.5331,-109.9252
168,-175.3703,-110.3148
169,-95.9648,-110.2299
170,-174.6858,-110.6090
171,-90.5976,-110.4920
172,-114.3994,-110.5147
173,-92.7408,-110.4120
174,-117.8853,-110.4549
175,-141.2855,-110.6311
176,-134.6035,-110.7673
177,-94.1662,-110.6735
178,-427.6640,-112.4544
179,-98.1943,-112.3747
180,-77.7109,-112.1821
181,-138.1353,-112.3255
182,-107.2511,-112.2976
183,-46.2283,-111.9366
184,-76.5989,-111.7446
185,-104.3177,-111.7044
186,-73.1704,-111.4972
187,6.5729,-110.8658
188,-91.0003,-110.7602
189,-104.8758,-110.7290
190,-124.2536,-110.8002
191,-69.3078,-110.5830
192,-33.6528,-110.1823
193,-95.7237,-110.1074
194,-83.2651,-109.9690
195,-149.3118,-110.1708
196,-137.8453,-110.3120
197,-83.4232,-110.1755
198,-90.3271,-110.0753
199,-69.7233,-109.8725
200,-127.0634,-109.9584
201,-155.6240,-110.1856
202,-122.2364,-110.2453
203,-81.5803,-110.1041
204,-142.4191,-110.2625
205,-73.0876,-110.0811
206,-60.3309,-109.8396
207,-84.9359,-109.7193
208,-137.6850,-109.8538
209,-86.5035,-109.7421
210,-106.1854,-109.7251
211,-97.0786,-109.6652
212,-79.7633,-109.5241
213,-158.4824,-109.7540
214,-93.7352,-109.6791
215,-140.4088,-109.8221
216,-146.0884,-109.9900
217,-102.7552,-109.9566
218,-164.7095,-110.2078
219,-101.4700,-110.1679
220,-108.8093,-110.1617
221,-275.9972,-110.9121
222,-154.6909,-111.1093
223,-50.9767,-110.8396
224,-124.4488,-110.9004
225,-100.9911,-110.8564
226,-69.2641,-110.6723
227,-99.3270,-110.6223
228,-168.9842,-110.8783
229,-69.7202,-110.6986
230,-133.5996,-110.7982
231,-97.8206,-110.7420
232,-99.1381,-110.6920
233,-128.9245,-110.7702
234,-96.2371,-110.7081
235,-69.9337,-110.5346
236,-112.4507,-110.5427
237,-110.0549,-110.5407
238,-95.5946,-110.4779
239,-65.5821,-110.2900
240,-86.6500,-110.1915
241,-151.1039,-110.3613
242,-112.9676,-110.3720
243,-67.0088,-110.1936
244,-79.2031,-110.0666
245,-104.4620,-110.0437
246,-87.7944,-109.9533
247,-173.0373,-110.2087
248,-55.8613,-109.9895
249,-94.1074,-109.9257
250,-96.7282,-109.8729
251,-29.8445,-109.5541
252,-138.3565,-109.6684
253,-118.0106,-109.7014
254,-114.0023,-109.7183
255,-117.2809,-109.7480
256,-63.9231,-109.5690
257,-64.0827,-109.3920
258,-48.8403,-109.1573
259,-109.0072,-109.1567
260,-119.5117,-109.1965
261,-129.9987,-109.2762
262,-98.5283,-109.2352
263,-98.3832,-109.1939
264,-155.4510,-109.3692
265,-87.9561,-109.2883
266,-61.6539,-109.1093
267,-110.4275,-109.1142
268,-69.4817,-108.9663
269,-44.9199,-108.7282
270,-101.7544,-108.7024
271,-115.0928,-108.7260
