Episode,Score,AvgScore
1,-127.1110,-127.1110
2,-83.9446,-105.5278
3,-106.9061,-105.9872
4,-80.6536,-99.6538
5,-65.6247,-92.8480
6,-101.5140,-94.2923
7,-114.3067,-97.1515
8,-75.9975,-94.5073
9,-85.9033,-93.5513
10,-113.7600,-95.5721
11,-106.9586,-96.6073
12,-126.5462,-99.1022
13,-69.4546,-96.8216
14,-123.7229,-98.7431
15,-172.2659,-103.6446
16,-116.8872,-104.4723
17,-94.4449,-103.8825
18,-118.1830,-104.6769
19,-114.7879,-105.2091
20,-101.6436,-105.0308
21,-110.7925,-105.3052
22,-19.2581,-101.3939
23,-118.2932,-102.1287
24,-49.4958,-99.9357
25,-83.3779,-99.2734
26,-59.4048,-97.7399
27,-73.7445,-96.8512
28,-50.7408,-95.2044
29,-65.1063,-94.1666
30,-66.2561,-93.2362
31,-112.1198,-93.8454
32,-114.2221,-94.4821
33,-87.4917,-94.2703
34,-109.3222,-94.7130
35,-63.9101,-93.8329
36,-116.8834,-94.4732
37,-96.2290,-94.5207
38,-82.3605,-94.2007
39,-75.0497,-93.7096
40,-97.9457,-93.8155
41,-81.0931,-93.5052
42,-108.6492,-93.8658
43,-76.3037,-93.4574
44,-109.0750,-93.8123
45,-70.1579,-93.2867
46,-118.7799,-93.8409
47,-141.5269,-94.8554
48,-192.7815,-96.8956
49,-137.8192,-97.7308
50,-59.5238,-96.9666
51,-84.9117,-96.7302
52,-76.2725,-96.3368
53,-76.6127,-95.9647
54,-108.3288,-96.1936
55,-80.5670,-95.9095
56,-123.6314,-96.4045
57,-113.0370,-96.6963
58,-138.5334,-97.4177
59,-140.6172,-98.1499
60,-111.4811,-98.3721
61,-72.5739,-97.9491
62,-100.0262,-97.9826
63,-115.0342,-98.2533
64,-78.3159,-97.9418
65,-80.5272,-97.6739
66,-123.8661,-98.0707
67,-110.9102,-98.2623
68,-225.1854,-100.1289
69,-66.7353,-99.6449
70,-119.8162,-99.9331
71,-111.4090,-100.0947
72,-160.3214,-100.9312
73,-146.1636,-101.5508
74,-151.0930,-102.2203
75,-127.7799,-102.5611
76,-151.7730,-103.2086
77,-145.5463,-103.7584
78,-128.5389,-104.0761
79,-118.2485,-104.2555
80,-69.4303,-103.8202
81,-119.6642,-104.0158
82,-122.0161,-104.2353
83,-51.2811,-103.5973
84,-72.9138,-103.2321
85,-133.3921,-103.5869
86,-104.1961,-103.5940
87,-100.3751,-103.5570
88,-93.2023,-103.4393
89,-72.7202,-103.0941
90,-126.8262,-103.3578
91,-142.0015,-103.7825
92,-89.9548,-103.6322
93,-98.3890,-103.5758
94,-155.6521,-104.1298
95,-102.2049,-104.1096
96,-97.1579,-104.0371
97,-258.7914,-105.6325
98,-143.2530,-106.0164
99,-94.4388,-105.8995
100,-123.5073,-106.0756
101,-82.6898,-105.8440
102,-83.3560,-105.6235
103,-146.3954,-106.0194
104,-86.9213,-105.8358
105,-114.0682,-105.9142
106,-116.1276,-106.0105
107,-136.1096,-106.2918
108,-51.7438,-105.7867
109,-61.4110,-105.3796
110,-128.2600,-105.5876
111,-87.0768,-105.4209
112,-105.2625,-105.4194
113,-94.8799,-105.3262
114,-134.1569,-105.5791
115,-170.4572,-106.1432
116,-102.3722,-106.1107
117,22.0873,-105.0150
118,-101.3724,-104.9841
119,-77.0583,-104.7495
120,-78.9688,-104.5346
121,-101.4536,-104.5092
122,-95.5386,-104.4356
123,-100.4641,-104.4034
124,-24.2559,-103.7570
125,-56.5579,-103.3794
126,-102.2694,-103.3706
127,-107.7480,-103.4051
128,-59.7139,-103.0637
129,-116.2251,-103.1658
130,-93.7152,-103.0931
131,-119.1663,-103.2158
132,-28.7061,-102.6513
133,-83.5384,-102.5076
134,-96.6628,-102.4640
135,-51.8204,-102.0888
136,-102.2246,-102.0898
137,-127.6348,-102.2763
138,-113.6098,-102.3584
139,-80.5553,-102.2016
140,-96.4557,-102.1605
141,-65.6966,-101.9019
142,-169.2454,-102.3762
143,-96.0189,-102.3317
144,-85.7677,-102.2167
145,-104.2312,-102.2306
146,-99.9667,-102.2151
147,-88.3926,-102.1210
148,-162.9479,-102.5320
149,-129.5305,-102.7132
150,-150.6433,-103.0328
151,-71.9066,-102.8266
152,-96.6645,-102.7861
153,-93.2105,-102.7235
154,-83.8965,-102.6012
155,-93.9883,-102.5457
156,-80.5094,-102.4044
157,-58.3645,-102.1239
158,-4.9081,-101.5086
159,-220.6460,-102.2579
160,-93.4925,-102.2031
161,-79.9702,-102.0650
162,-79.2535,-101.9242
163,-103.6139,-101.9346
164,-105.3300,-101.9553
165,-43.7995,-101.6028
166,-129.1808,-101.7690
167,-101.1927,-101.7655
168,-109.1505,-101.8095
169,-70.7645,-101.6258
170,-77.1156,-101.4816
171,-115.5143,-101.5637
172,-135.3907,-101.7603
173,-105.9030,-101.7843
174,-76.0575,-101.6364
175,-241.9941,-102.4385
176,-23.4542,-101.9897
177,-71.2970,-101.8163
178,-61.6816,-101.5908
179,-111.7360,-101.6475
180,-187.5776,-102.1249
181,-86.9654,-102.0411
182,-95.7818,-102.0067
183,-85.6088,-101.9171
184,-80.4239,-101.8003
185,-85.8806,-101.7143
186,-106.2782,-101.7388
187,-114.4295,-101.8067
188,-149.4332,-102.0600
189,-169.7473,-102.4181
190,-163.8905,-102.7417
191,-132.4941,-102.8974
192,-88.7157,-102.8236
193,-119.6381,-102.9107
194,-55.5374,-102.6665
195,-120.6286,-102.7586
196,-109.7447,-102.7943
197,-110.7642,-102.8347
198,-114.6476,-102.8944
199,-122.8731,-102.9948
200,-80.6529,-102.8831
201,-85.2085,-102.7951
202,-120.9664,-102.8851
203,-116.1109,-102.9502
204,-110.5159,-102.9873
205,16.6893,-102.4035
206,-121.9234,-102.4983
207,-65.8246,-102.3211
208,-93.7372,-102.2799
209,-109.1589,-102.3128
210,-88.1843,-102.2455
211,-104.6292,-102.2568
212,-87.9182,-102.1892
213,-132.1933,-102.3300
214,-108.2200,-102.3575
215,-110.6618,-102.3962
216,-152.2342,-102.6269
217,-146.6912,-102.8300
218,-90.7160,-102.7744
219,-85.1609,-102.6940
220,-77.9722,-102.5816
221,-63.7235,-102.4058
222,-104.5852,-102.4156
223,-66.1122,-102.2528
224,-88.6043,-102.1919
225,-78.5031,-102.0866
226,-63.9453,-101.9178
227,-84.8769,-101.8427
228,-111.9366,-101.8870
229,-138.5849,-102.0473
230,-61.6332,-101.8715
231,-67.0710,-101.7209
232,-96.9324,-101.7003
233,-226.1961,-102.2346
234,-149.6531,-102.4372
235,-61.7810,-102.2642
236,-96.8896,-102.2414
237,-135.5988,-102.3822
238,-56.5632,-102.1897
239,-100.7949,-102.1838
240,-45.4136,-101.9473
241,-96.0235,-101.9227
242,-117.8818,-101.9887
243,-136.9057,-102.1323
244,-84.9009,-102.0617
245,-92.6604,-102.0234
246,-130.1719,-102.1378
247,-128.6169,-102.2450
248,-66.4264,-102.1006
249,-78.1731,-102.0045
250,-82.2946,-101.9256
251,-125.7219,-102.0204
252,-95.1420,-101.9931
253,-145.1759,-102.1638
254,-112.5635,-102.2048
255,-162.8786,-102.4427
256,-72.1011,-102.3242
257,-120.3183,-102.3942
258,-65.7240,-102.2521
259,-93.6407,-102.2188
260,-154.3104,-102.4192
261,-85.9566,-102.3561
262,-83.7970,-102.2852
263,2.7922,-101.8857
264,-139.8141,-102.0294
265,47.8898,-101.4636
266,-98.3302,-101.4519
267,-94.8346,-101.4271
268,-77.8586,-101.3391
269,-68.9276,-101.2187
270,-98.6566,-101.2092
271,-133.7137,-101.3291
272,-91.6645,-101.2936
273,-56.2375,-101.1285
274,-57.2401,-100.9684
275,-108.0797,-100.9942
276,-100.7316,-100.9933
277,-101.4869,-100.9950
278,-84.4713,-100.9356
279,-101.9475,-100.9392
280,-93.6170,-100.9131
281,-18.2535,-100.6189
282,-149.5231,-100.7923
283,37.4071,-100.3040
284,-85.5722,-100.2521
285,-93.5347,-100.2286
286,-92.4919,-100.2015
287,-73.7359,-100.1093
288,-106.5563,-100.1317
289,-118.2871,-100.1945
290,-81.4206,-100.1298
291,-68.2786,-100.0203
292,-102.9534,-100.0304
293,-60.6535,-99.8960
294,-132.3922,-100.0065
295,-115.2427,-100.0581
296,-97.3014,-100.0488
297,-62.3513,-99.9219
298,-93.2161,-99.8994
299,-131.0276,-100.0035
300,34.3326,-99.5557
301,-82.6558,-99.4996
302,-114.5688,-99.5495
303,-75.5353,-99.4702
304,-164.9044,-99.6855
305,-107.8671,-99.7123
306,-45.3033,-99.5345
307,-107.8910,-99.5617
308,-88.8980,-99.5271
309,-71.4712,-99.4363
310,-230.4361,-99.8589
311,-101.3190,-99.8636
312,-75.6290,-99.7859
313,-165.2076,-99.9949
314,-88.1110,-99.9571
315,-100.0049,-99.9572
316,-79.9476,-99.8939
317,-314.8871,-100.5721
318,-86.9401,-100.5292
319,-128.3623,-100.6165
320,-149.4864,-100.7692
321,-90.4404,-100.7370
322,-171.8521,-100.9579
323,-89.4110,-100.9221
324,-75.4954,-100.8436
325,-116.7718,-100.8927
326,-58.2488,-100.7618
327,-75.8671,-100.6857
328,-117.7391,-100.7377
329,-85.5451,-100.6915
330,-87.2031,-100.6507
331,-152.7260,-100.8080
332,-145.8768,-100.9437
333,-124.4746,-101.0144
334,-82.6276,-100.9593
335,-127.5153,-101.0386
336,-216.5533,-101.3824
337,-103.6836,-101.3892
338,-92.5125,-101.3630
339,-98.0604,-101.3532
340,-135.9374,-101.4550
341,-68.9591,-101.3597
342,-47.2256,-101.2014
343,-51.3070,-101.0559
344,-65.6476,-100.9530
345,-104.8774,-100.9643
346,-107.2877,-100.9826
347,-90.2137,-100.9516
348,-53.6407,-100.8156
349,-62.6382,-100.7062
350,-89.7308,-100.6749
351,-118.4177,-100.7254
352,-65.9694,-100.6267
353,-145.6024,-100.7541
354,-116.3564,-100.7982
355,-123.1882,-100.8613
356,-48.3043,-100.7136
357,-39.7739,-100.5429
358,-27.0590,-100.3377
359,-171.8233,-100.5368
360,-53.4749,-100.4061
361,-112.5007,-100.4396
362,-114.9590,-100.4797
363,-83.3882,-100.4326
364,-104.5839,-100.4440
365,-137.2199,-100.5447
366,-88.2547,-100.5112
367,-95.8021,-100.4983
368,-146.6693,-100.6238
369,-100.3925,-100.6232
370,-68.7080,-100.5369
371,-133.4461,-100.6256
372,-85.6315,-100.5853
373,-146.3277,-100.7079
374,-136.0712,-100.8025
375,-73.7976,-100.7305
376,-183.3756,-100.9503
377,-140.4049,-101.0549
378,-61.5214,-100.9504
379,-107.9111,-100.9687
380,-117.2388,-101.0115
381,-123.5909,-101.0708
382,-75.6732,-101.0043
383,-115.9548,-101.0434
384,-109.7791,-101.0661
385,-84.0296,-101.0219
386,-77.2745,-100.9603
387,-65.0672,-100.8676
388,-102.0822,-100.8707
389,-147.7664,-100.9913
390,-129.2925,-101.0638
391,-17.4042,-100.8499
392,-150.8179,-100.9773
393,-87.0129,-100.9418
394,-106.6690,-100.9563
395,-83.3464,-100.9118
396,-48.5049,-100.7794
397,-92.1577,-100.7577
398,-87.8091,-100.7252
399,-92.2618,-100.7040
400,-91.7899,-100.6817
401,-68.1394,-100.6005
402,-75.6903,-100.5386
403,-70.3942,-100.4638
404,-76.0938,-100.4034
405,-115.0896,-100.4397
406,-98.4215,-100.4347
407,-51.7952,-100.3152
408,-69.1194,-100.2388
409,-79.4016,-100.1878
410,-61.7055,-100.0940
